cohort,id,name,brand,category,productStatus,editorialUse,mainChars,specificChars,titleChars,metaDescriptionChars,ingredientCount,skinCount,concernCount,prosCount,consCount,uniqueSectionCount,officialSourceCount,officialProductPage,officialBrandOnly,pressRelease,domesticOfficial,verifiedAt,updatedAt,contentAmount,spf,pa,classification,activeIngredients,usage,manufacturerTarget,manufacturerFeatures,freeFrom,countryOfOrigin,specCount,comparisonCandidateCount,inboundTotal,fromProducts,fromBrands,fromRanking,fromColumns,fromGuides,fromRelatedProducts,identicalSentenceRate,duplicateSentenceCount,maxSimilarity,nearDuplicateId,sameCategorySimilarity,sameCategoryNearId
過去未登録40,192,キールズ レチノール スキン-リニューイング デイリー マイクロ-ドーズ セラム,キールズ,美容液,現在比較対象,公開情報のみ,1105,151,52,137,3,2,2,0,0,4,0,0,0,0,0,,,,,,,,,,,,アメリカ,0,0,5,1,1,0,2,1,0,0.25,1,0.1043956043956044,121,0.1043956043956044,121
過去未登録40,117,ドクターシーラボ アクアコラーゲンゲル スーパーモイスチャー,ドクターシーラボ,保湿クリーム,現在比較対象,公開情報のみ,1064,134,46,120,3,2,2,0,0,4,0,0,0,0,0,,,,,,,,,,,,日本,0,0,3,1,1,0,0,1,0,0.25,1,0.20118343195266272,118,0.20118343195266272,118
過去未登録40,62,ルルルン プレシャス GREEN（バランス）,ルルルン,パック・マスク,現在比較対象,公開情報のみ,1578,478,41,89,3,2,2,0,0,4,2,1,0,0,0,2026-08-10,2026-08-10,掲載世代は32枚。現行Glow Upも32枚/560mLと7枚/150mL,,,,,毎日の化粧水代わりのフェイスマスクとして案内,,掲載中のバランス版は32枚入りとして公式旧商品ページで確認できます。 / 2025年11月に現行のGlow Upへ更新されており、旧版と現行版は区別が必要です。,,日本,4,3,5,1,1,0,3,0,0,0.1111111111111111,2,0.06265060240963856,66,0.06265060240963856,66
過去未登録40,91,キールズ アイ トリートメント AV,キールズ,アイケア,現在比較対象,公開情報のみ,1387,407,37,91,3,2,2,0,0,4,1,1,0,0,1,2026-08-10,2026-08-10,14g・28g,,,,,朝晩、洗顔・化粧水後に米粒大を目元へ使用,,アボカドオイル、シアバター、ビタミンEを保湿成分として配合したアイクリームです。 / 14gと28gがあり、朝晩に米粒大を使う目安が公式に示されています。,,アメリカ,4,3,2,1,1,0,0,0,0,0,0,0.07815275310834814,40,0.06990881458966565,181
登録済み対照15,44,ラロッシュポゼ トレリアン ウルトラ,ラロッシュポゼ,保湿クリーム,現在比較対象,公開情報のみ,1092,125,33,105,3,2,2,0,0,4,0,0,0,0,0,,,,,,,,,,,,フランス,0,0,2,1,1,0,0,0,0,0.25,1,0.21052631578947367,122,0.21052631578947367,122
登録済み対照15,121,Innisfree レチノール シカ アンプル,イニスフリー,美容液,現在比較対象,公開情報のみ,1036,119,37,107,3,2,2,0,0,4,0,0,0,0,0,,,,,,,,,,,,韓国,0,0,5,1,1,0,3,0,0,0,0,0.43609022556390975,175,0.43609022556390975,175
登録済み対照15,110,ALLIE クロノビューティ ジェルUV EX,カネボウ,日焼け止め,現在比較対象,公開情報のみ,1017,116,35,113,2,2,1,0,0,4,0,0,0,0,0,,,,,,,,,,,,日本,0,0,4,1,1,0,0,1,1,0.25,1,0.1794871794871795,109,0.1794871794871795,109
登録済み対照15,101,CLINIQUE 拭き取り化粧水 クラリファイングローション,クリニーク,化粧水,現在比較対象,公開情報のみ,1036,123,43,111,2,2,2,0,0,4,0,0,0,0,0,,,,,,,,,,,,アメリカ,0,0,3,1,1,0,0,1,0,0.5,2,0.19254658385093168,14,0.19254658385093168,14
登録済み対照15,102,キュレル 皮脂トラブルケア 保湿ジェル,キュレル,保湿クリーム,現在比較対象,公開情報のみ,1060,130,31,105,3,2,2,0,0,4,0,0,0,0,0,,,,,,,,,,,,日本,0,0,2,1,1,0,0,0,0,0.5714285714285714,4,0.16091954022988506,83,0.1348314606741573,130
登録済み対照15,163,コーセー ジュレーム ヘアマスク,コーセー,パック・マスク,関連カテゴリ,公開情報のみ,995,105,28,102,3,1,1,0,0,4,0,0,0,0,0,,,,,,,,,,,,日本,0,0,2,1,1,0,0,0,0,0,0,0.10404624277456648,131,0.10404624277456648,131
登録済み対照15,104,THE ORDINARY ハイアルロニックアシッド 2% + B5,The Ordinary,美容液,現在比較対象,公開情報のみ,1042,124,53,121,2,2,1,0,0,4,0,0,0,0,0,,,,,,,,,,,,カナダ,0,0,2,1,1,0,0,0,0,0.25,1,0.13043478260869565,107,0.13043478260869565,107
登録済み対照15,147,エスティローダー マイクロ エッセンス ローション,エスティローダー,化粧水,現在比較対象,公開情報のみ,1057,119,41,109,2,2,2,0,0,4,0,0,0,0,0,,,,,,,,,,,,アメリカ,0,0,2,1,1,0,0,0,0,0.25,1,0.16233766233766234,84,0.15760869565217392,176
登録済み対照15,175,イニスフリー レチノール シカ リペア アンプル,イニスフリー,美容液,現在比較対象,公開情報のみ,1056,138,38,126,3,2,2,0,0,4,0,0,0,0,0,,,,,,,,,,,,韓国,0,0,3,1,1,0,1,0,0,0,0,0.43609022556390975,121,0.43609022556390975,121
登録済み対照15,180,Torriden ダイブイン マイクロ ヒアルロン酸 トナーパッド,Torriden,化粧水,現在比較対象,公開情報のみ,1125,154,49,130,3,3,2,0,0,4,0,0,0,0,0,,,,,,,,,,,,韓国,0,0,8,1,1,1,1,4,0,0.4,2,0.38513513513513514,11,0.38513513513513514,11
登録済み対照15,99,無印良品 エイジングケア美容液,無印良品,美容液,現在比較対象,公開情報のみ,1024,117,27,97,3,2,2,0,0,4,0,0,0,0,0,,,,,,,,,,,,日本,0,0,2,1,1,0,0,0,0,0,0,0.2937062937062937,146,0.1870967741935484,94
登録済み対照15,58,ラロッシュポゼ UVイデア XL プロテクショントーンアップ,ラロッシュポゼ,日焼け止め,現在比較対象,公開情報のみ,1085,141,45,123,3,2,2,0,0,4,0,0,0,0,0,,,,,,,,,,,,フランス,0,0,9,1,1,0,4,0,3,0.4,2,0.16470588235294117,59,0.16470588235294117,59
登録済み対照15,162,OLAY レチノール24 ナイトモイスチャライザー,オレイ,保湿クリーム,現在比較対象,公開情報のみ,1059,126,36,110,3,2,2,0,0,4,0,0,0,0,0,,,,,,,,,,,,アメリカ,0,0,2,1,1,0,0,0,0,0.25,1,0.1794871794871795,116,0.1794871794871795,116
登録済み対照15,112,キュレル UVカット デイバリア UVローション,キュレル,日焼け止め,現在比較対象,公開情報のみ,1064,127,36,114,2,2,2,0,0,4,0,0,0,0,0,,,,,,,,,,,,日本,0,0,7,1,1,0,4,1,0,0.4,2,0.20714285714285716,195,0.1464968152866242,60
登録済み対照15,158,ONE THING ドクダミエキス,ONE THING,化粧水,現在比較対象,公開情報のみ,1065,114,34,105,1,3,2,0,0,4,0,0,0,0,0,,,,,,,,,,,,韓国,0,0,4,1,1,0,0,2,0,0.2,1,0.1592356687898089,15,0.1592356687898089,15
