url,finalUrl,status,httpStatus,elapsedMs,sourceType,productIds,productNames,error
https://www.kao-kirei.com/ja/item/kbb/curel/4901301423221/,https://www.kao-kirei.com/ja/item/kbb/curel/4901301423221/,ok,200,75,official-product,40,キュレル 潤浸保湿フェイスクリーム,
https://www.kao-kirei.com/ja/item/khg/bioresarasarauv/4901301447647/,https://www.kao-kirei.com/ja/item/khg/bioresarasarauv/4901301447647/,ok,200,64,official-product,56,ビオレUV アクアリッチ ウォータリーエッセンス,
https://www.kao-kirei.com/ja/item/khg/mensbiore/4901301257666/,https://www.kao-kirei.com/ja/item/khg/mensbiore/4901301257666/,ok,200,57,official-product,227,メンズビオレ ダブルスクラブ洗顔,
https://www.kao-kirei.com/ja/item/khg/mensbiore/4901301257680/,https://www.kao-kirei.com/ja/item/khg/mensbiore/4901301257680/,ok,200,56,official-product,230,メンズビオレ ミクロスクラブ洗顔,
https://www.kao-kirei.com/ja/item/khg/mensbiore/4901301261991/,https://www.kao-kirei.com/ja/item/khg/mensbiore/4901301261991/,ok,200,54,official-product,217,メンズビオレ 泡タイプ洗顔 つめかえ,
https://www.kao-kirei.com/ja/official/curel/special/facecream/,https://www.kao-kirei.com/ja/official/curel/special/facecream/,ok,200,64,official-brand,40,キュレル 潤浸保湿フェイスクリーム,
https://www.kiehls.jp/skincare/face-product/face-eye/creamy-eye-treatment-with-avocado/3700194714413.html,https://www.kiehls.jp/skincare/face-product/face-eye/creamy-eye-treatment-with-avocado/3700194714413.html,blocked,403,58,official-product,91,キールズ アイ トリートメント AV,
https://www.kiehls.jp/skincare/face-product/face-serums/retinol-skin-renewing-daily-micro-dose-serum/WW0124KIE.html,https://www.kiehls.jp/skincare/face-product/face-serums/retinol-skin-renewing-daily-micro-dose-serum/WW0124KIE.html,blocked,403,52,official-product,192,キールズ DS RTN リニューイング セラム,
https://www.laroche-posay.jp/product/cicaplast-baume-b5.html,https://www.laroche-posay.jp/product/cicaplast-baume-b5.html,blocked,403,61,official-product,122,ラロッシュポゼ シカプラスト バーム B5+,
https://www.muji.com/jp/ja/store/cmdty/detail/4550583434991,,timeout,,12002,official-successor,3,無印良品 化粧水 敏感肌用 高保湿タイプ,The operation was aborted due to timeout
https://www.muji.com/jp/ja/store/cmdty/detail/4550584085369,,timeout,,12015,official-product,154,無印良品 ホホバオイル,The operation was aborted due to timeout
https://www.mybeautydiary-jp.com/lineup/,https://www.mybeautydiary-jp.com/lineup/,ok,200,28,official-brand,64,我的美麗日記（私のきれい日記）黒真珠マスク,
https://www.mybeautydiary-jp.com/lineup/blackpearl.html,https://www.mybeautydiary-jp.com/lineup/blackpearl.html,ok,200,38,official-product,64,我的美麗日記（私のきれい日記）黒真珠マスク,
https://www.naturie-net.jp/,https://www.naturie-net.jp/,ok,200,1808,official-brand,10,ナチュリエ ハトムギ化粧水,
https://www.naturie-net.jp/variation,https://www.naturie-net.jp/variation,ok,200,1805,official-product,10,ナチュリエ ハトムギ化粧水,
https://www.nivea.co.jp/highlights/youcan,https://www.nivea.co.jp/highlights/youcan,ok,200,434,official-brand,37,ニベアクリーム 大缶,
https://www.nivea.co.jp/products/nivea-japan/all-purpose-creams/%E3%83%8B%E3%83%99%E3%82%A2%E3%82%AF%E3%83%AA%E3%83%BC%E3%83%A0-%E5%A4%A7%E7%BC%B6,https://www.nivea.co.jp/products/nivea-japan/all-purpose-creams/%E3%83%8B%E3%83%99%E3%82%A2%E3%82%AF%E3%83%AA%E3%83%BC%E3%83%A0-%E5%A4%A7%E7%BC%B6,ok,200,465,official-product,37,ニベアクリーム 大缶,
https://www.nutima-su.com/slide/osirase.pdf,https://www.nutima-su.com/slide/osirase.pdf,ok,200,84,official-pdf,199,ぬちまーす リュウミネ 石鹸,
https://www.rosette.jp/Form/Product/ProductDetail.aspx?pid=054186-900&shop=0,https://www.rosette.jp/Form/Product/ProductDetail.aspx?pid=054186-900&shop=0,ok,200,283,official-product,193,ロゼット 洗顔パスタ アクネクリア,
https://www.rosette.jp/Page/guide_faq.aspx,https://www.rosette.jp/Page/guide_faq.aspx,ok,200,150,official-brand,193,ロゼット 洗顔パスタ アクネクリア,
https://www.shiseido.co.jp/dprogram/product/acnecare_serum/,https://www.shiseido.co.jp/dprogram/product/acnecare_serum/,ok,200,53,official-product,205,d プログラム 薬用 アクネケア美容液,
https://www.shiseido.co.jp/haku/faq/,https://www.shiseido.co.jp/haku/faq/,ok,200,49,official-brand,159,HAKU メラノフォーカスEV,
https://www.shiseido.co.jp/haku/lineup/melanofocusiv/,https://www.shiseido.co.jp/haku/lineup/melanofocusiv/,ok,200,147,official-successor,159,HAKU メラノフォーカスEV,
https://www.shiseido.co.jp/sw/onlinestore/products/H26401.html,https://www.shiseido.co.jp/sw/onlinestore/products/H26401.html,ok,200,41,official-product,205,d プログラム 薬用 アクネケア美容液,
https://www.shop.rohto.co.jp/category/skincare/hadalabo/shirojyun-premium/168446.html,https://www.shop.rohto.co.jp/category/skincare/hadalabo/shirojyun-premium/168446.html,ok,200,273,official-product,17,ハダラボ 白潤プレミアム 薬用浸透美白化粧水,
https://www.shop.rohto.co.jp/category/skincare/melanocc/191048.html,https://www.shop.rohto.co.jp/category/skincare/melanocc/191048.html,ok,200,183,official-product,203,ロート製薬 メラノCC ディープデイケアUV乳液,
https://www.shop.rohto.co.jp/category/skincare/obagi/obagi-c/199891.html,https://www.shop.rohto.co.jp/category/skincare/obagi/obagi-c/199891.html,ok,200,194,official-product,24,オバジ C25セラム ネオ,
https://www.vtcosmetics.jp/product/%E3%83%AA%E3%83%BC%E3%83%89%E3%83%AB%E3%82%B7%E3%83%A7%E3%83%83%E3%83%88300/653/,https://www.vtcosmetics.jp/product/%E3%83%AA%E3%83%BC%E3%83%89%E3%83%AB%E3%82%B7%E3%83%A7%E3%83%83%E3%83%88300/653/,ok,200,194,official-product,179,VT リードルショット 300,
